SpeciesID	Species_Name	Species_Latin_Name
1	Red-legged_partridge	Alectoris_rufa
2	Mallard	Anas_platyrhynchos
3	Tawny_pipit	Anthus_campestris
4	Common_swift	Apus_apus
5	Little_owl	Athene_noctua
6	Common_buzzard	Buteo_buteo
7	Greater_short-toed_lark	Calandrella_brachydactyla
8	Common_linnet	Carduelis_cannabina
9	European_goldfinch	Carduelis_carduelis
10	European_greenfinch	Chloris_chloris
11	Western_marsh_harrier	Circus_aeruginosus
12	Zitting_cisticola	Cisticola_juncidis
13	Common_wood_pigeon	Columba_palumbus
14	Carrion_crow	Corvus_corone
15	Common_quail	Coturnix_coturnix
16	Common_cuckoo	Cuculus_canorus
17	Common_house_martin	Delichon_urbicum
18	Corn_bunting	Emberiza_calandra
19	Cirl_bunting	Emberiza_cirlus
20	Common_kestrel	Falco_tinnunculus
21	Common_chaffinch	Fringilla_coelebs
22	Crested_lark	Galerida_cristata
23	Thekla's_lark	Galerida_theklae
24	Melodious_warbler	Hippolais_polyglotta
25	Barn_swallow	Hirundo_rustica
26	Iberian_grey_shrike	Lanius_meridionalis
27	Woodchat_shrike	Lanius_senator
28	Common_nightingale	Luscinia_megarhynchos
29	Calandra_lark	Melanocorypha_calandra
30	European_bee-eater	Merops_apiaster
31	Black_kite	Milvus_migrans
32	White_wagtail	Motacilla_alba
33	Black-eared_wheatear	Oenanthe_hispanica
34	Great_tit	Parus_major
35	House_sparrow	Passer_domesticus
36	Magpie	Pica_pica
37	Red-billed_chough	Pyrrhocorax_pyrrhocorax
38	European_stonechat	Saxicola_rubicola
39	European_serin	Serinus_serinus
40	European_turtle-dove	Streptopelia_turtur
41	Spotless_starling	Sturnus_unicolor
42	Subalpine_warbler	Sylvia_cantillans
43	Sardinian_warbler	Sylvia_melanocephala
44	Dartford_warbler	Sylvia_undata
45	Little_bustard	Tetrax_tetrax
46	Common_blackbird	Turdus_merula
47	Eurasian_hoopoe	Upupa_epops
