site	year	rep	specie	Date
1	1	1	1	42
2	1	1	1	42
3	1	1	1	42
4	1	1	1	42
5	1	1	1	42
6	1	1	1	42
7	1	1	1	42
8	1	1	1	42
9	1	1	1	42
10	1	1	1	42
11	1	1	1	42
12	1	1	1	42
13	1	1	1	42
14	1	1	1	42
15	1	1	1	42
16	1	1	1	42
17	1	1	1	42
18	1	1	1	42
19	1	1	1	42
1	2	1	1	41
2	2	1	1	41
3	2	1	1	41
4	2	1	1	41
5	2	1	1	41
6	2	1	1	41
7	2	1	1	41
8	2	1	1	41
9	2	1	1	41
10	2	1	1	41
11	2	1	1	41
12	2	1	1	41
13	2	1	1	41
14	2	1	1	41
15	2	1	1	41
16	2	1	1	41
17	2	1	1	41
18	2	1	1	41
19	2	1	1	41
1	3	1	1	18
2	3	1	1	18
3	3	1	1	18
4	3	1	1	18
5	3	1	1	18
6	3	1	1	18
7	3	1	1	18
8	3	1	1	18
9	3	1	1	18
10	3	1	1	18
11	3	1	1	18
12	3	1	1	18
13	3	1	1	18
14	3	1	1	18
15	3	1	1	18
16	3	1	1	18
17	3	1	1	18
18	3	1	1	18
19	3	1	1	18
1	4	1	1	39
2	4	1	1	39
3	4	1	1	39
4	4	1	1	39
5	4	1	1	39
6	4	1	1	39
7	4	1	1	39
8	4	1	1	39
9	4	1	1	39
10	4	1	1	39
11	4	1	1	39
12	4	1	1	39
13	4	1	1	39
14	4	1	1	39
15	4	1	1	39
16	4	1	1	39
17	4	1	1	39
18	4	1	1	39
19	4	1	1	39
1	5	1	1	25
2	5	1	1	25
3	5	1	1	25
4	5	1	1	25
5	5	1	1	25
6	5	1	1	25
7	5	1	1	25
8	5	1	1	25
9	5	1	1	25
10	5	1	1	25
11	5	1	1	25
12	5	1	1	25
13	5	1	1	25
14	5	1	1	25
15	5	1	1	25
16	5	1	1	25
17	5	1	1	25
18	5	1	1	25
19	5	1	1	25
1	6	1	1	31
2	6	1	1	31
3	6	1	1	31
4	6	1	1	31
5	6	1	1	31
6	6	1	1	31
7	6	1	1	31
8	6	1	1	31
9	6	1	1	31
10	6	1	1	31
11	6	1	1	31
12	6	1	1	31
13	6	1	1	31
14	6	1	1	31
15	6	1	1	31
16	6	1	1	31
17	6	1	1	31
18	6	1	1	31
19	6	1	1	31
1	7	1	1	29
2	7	1	1	29
3	7	1	1	29
4	7	1	1	29
5	7	1	1	29
6	7	1	1	29
7	7	1	1	29
8	7	1	1	29
9	7	1	1	29
10	7	1	1	29
11	7	1	1	29
12	7	1	1	29
13	7	1	1	29
14	7	1	1	29
15	7	1	1	29
16	7	1	1	29
17	7	1	1	29
18	7	1	1	29
19	7	1	1	29
1	8	1	1	25
2	8	1	1	25
3	8	1	1	25
4	8	1	1	25
5	8	1	1	25
6	8	1	1	25
7	8	1	1	25
8	8	1	1	25
9	8	1	1	25
10	8	1	1	25
11	8	1	1	25
12	8	1	1	25
13	8	1	1	25
14	8	1	1	25
15	8	1	1	25
16	8	1	1	25
17	8	1	1	25
18	8	1	1	25
19	8	1	1	25
1	9	1	1	17
2	9	1	1	17
3	9	1	1	17
4	9	1	1	17
5	9	1	1	17
6	9	1	1	17
7	9	1	1	17
8	9	1	1	17
9	9	1	1	17
10	9	1	1	17
11	9	1	1	17
12	9	1	1	17
13	9	1	1	17
14	9	1	1	17
15	9	1	1	17
16	9	1	1	17
17	9	1	1	17
18	9	1	1	17
19	9	1	1	17
1	10	1	1	23
2	10	1	1	23
3	10	1	1	23
4	10	1	1	23
5	10	1	1	23
6	10	1	1	23
7	10	1	1	23
8	10	1	1	23
9	10	1	1	23
10	10	1	1	23
11	10	1	1	23
12	10	1	1	23
13	10	1	1	23
14	10	1	1	23
15	10	1	1	23
16	10	1	1	23
17	10	1	1	23
18	10	1	1	23
19	10	1	1	23
1	11	1	1	28
2	11	1	1	28
3	11	1	1	28
4	11	1	1	28
5	11	1	1	28
6	11	1	1	28
7	11	1	1	28
8	11	1	1	28
9	11	1	1	28
10	11	1	1	28
11	11	1	1	28
12	11	1	1	28
13	11	1	1	28
14	11	1	1	28
15	11	1	1	28
16	11	1	1	28
17	11	1	1	28
18	11	1	1	28
19	11	1	1	28
1	12	1	1	27
2	12	1	1	27
3	12	1	1	27
4	12	1	1	27
5	12	1	1	27
6	12	1	1	27
7	12	1	1	27
8	12	1	1	27
9	12	1	1	27
10	12	1	1	27
11	12	1	1	27
12	12	1	1	27
13	12	1	1	27
14	12	1	1	27
15	12	1	1	27
16	12	1	1	27
17	12	1	1	27
18	12	1	1	27
19	12	1	1	27
1	1	2	1	42
2	1	2	1	42
3	1	2	1	42
4	1	2	1	42
5	1	2	1	42
6	1	2	1	42
7	1	2	1	42
8	1	2	1	42
9	1	2	1	42
10	1	2	1	42
11	1	2	1	42
12	1	2	1	42
13	1	2	1	42
14	1	2	1	42
15	1	2	1	42
16	1	2	1	42
17	1	2	1	42
18	1	2	1	42
19	1	2	1	42
1	2	2	1	41
2	2	2	1	41
3	2	2	1	41
4	2	2	1	41
5	2	2	1	41
6	2	2	1	41
7	2	2	1	41
8	2	2	1	41
9	2	2	1	41
10	2	2	1	41
11	2	2	1	41
12	2	2	1	41
13	2	2	1	41
14	2	2	1	41
15	2	2	1	41
16	2	2	1	41
17	2	2	1	41
18	2	2	1	41
19	2	2	1	41
1	3	2	1	18
2	3	2	1	18
3	3	2	1	18
4	3	2	1	18
5	3	2	1	18
6	3	2	1	18
7	3	2	1	18
8	3	2	1	18
9	3	2	1	18
10	3	2	1	18
11	3	2	1	18
12	3	2	1	18
13	3	2	1	18
14	3	2	1	18
15	3	2	1	18
16	3	2	1	18
17	3	2	1	18
18	3	2	1	18
19	3	2	1	18
1	4	2	1	39
2	4	2	1	39
3	4	2	1	39
4	4	2	1	39
5	4	2	1	39
6	4	2	1	39
7	4	2	1	39
8	4	2	1	39
9	4	2	1	39
10	4	2	1	39
11	4	2	1	39
12	4	2	1	39
13	4	2	1	39
14	4	2	1	39
15	4	2	1	39
16	4	2	1	39
17	4	2	1	39
18	4	2	1	39
19	4	2	1	39
1	5	2	1	25
2	5	2	1	25
3	5	2	1	25
4	5	2	1	25
5	5	2	1	25
6	5	2	1	25
7	5	2	1	25
8	5	2	1	25
9	5	2	1	25
10	5	2	1	25
11	5	2	1	25
12	5	2	1	25
13	5	2	1	25
14	5	2	1	25
15	5	2	1	25
16	5	2	1	25
17	5	2	1	25
18	5	2	1	25
19	5	2	1	25
1	6	2	1	31
2	6	2	1	31
3	6	2	1	31
4	6	2	1	31
5	6	2	1	31
6	6	2	1	31
7	6	2	1	31
8	6	2	1	31
9	6	2	1	31
10	6	2	1	31
11	6	2	1	31
12	6	2	1	31
13	6	2	1	31
14	6	2	1	31
15	6	2	1	31
16	6	2	1	31
17	6	2	1	31
18	6	2	1	31
19	6	2	1	31
1	7	2	1	29
2	7	2	1	29
3	7	2	1	29
4	7	2	1	29
5	7	2	1	29
6	7	2	1	29
7	7	2	1	29
8	7	2	1	29
9	7	2	1	29
10	7	2	1	29
11	7	2	1	29
12	7	2	1	29
13	7	2	1	29
14	7	2	1	29
15	7	2	1	29
16	7	2	1	29
17	7	2	1	29
18	7	2	1	29
19	7	2	1	29
1	8	2	1	25
2	8	2	1	25
3	8	2	1	25
4	8	2	1	25
5	8	2	1	25
6	8	2	1	25
7	8	2	1	25
8	8	2	1	25
9	8	2	1	25
10	8	2	1	25
11	8	2	1	25
12	8	2	1	25
13	8	2	1	25
14	8	2	1	25
15	8	2	1	25
16	8	2	1	25
17	8	2	1	25
18	8	2	1	25
19	8	2	1	25
1	9	2	1	17
2	9	2	1	17
3	9	2	1	17
4	9	2	1	17
5	9	2	1	17
6	9	2	1	17
7	9	2	1	17
8	9	2	1	17
9	9	2	1	17
10	9	2	1	17
11	9	2	1	17
12	9	2	1	17
13	9	2	1	17
14	9	2	1	17
15	9	2	1	17
16	9	2	1	17
17	9	2	1	17
18	9	2	1	17
19	9	2	1	17
1	10	2	1	23
2	10	2	1	23
3	10	2	1	23
4	10	2	1	23
5	10	2	1	23
6	10	2	1	23
7	10	2	1	23
8	10	2	1	23
9	10	2	1	23
10	10	2	1	23
11	10	2	1	23
12	10	2	1	23
13	10	2	1	23
14	10	2	1	23
15	10	2	1	23
16	10	2	1	23
17	10	2	1	23
18	10	2	1	23
19	10	2	1	23
1	11	2	1	28
2	11	2	1	28
3	11	2	1	28
4	11	2	1	28
5	11	2	1	28
6	11	2	1	28
7	11	2	1	28
8	11	2	1	28
9	11	2	1	28
10	11	2	1	28
11	11	2	1	28
12	11	2	1	28
13	11	2	1	28
14	11	2	1	28
15	11	2	1	28
16	11	2	1	28
17	11	2	1	28
18	11	2	1	28
19	11	2	1	28
1	12	2	1	56
2	12	2	1	56
3	12	2	1	56
4	12	2	1	56
5	12	2	1	56
6	12	2	1	56
7	12	2	1	56
8	12	2	1	56
9	12	2	1	56
10	12	2	1	56
11	12	2	1	56
12	12	2	1	56
13	12	2	1	56
14	12	2	1	56
15	12	2	1	56
16	12	2	1	56
17	12	2	1	56
18	12	2	1	56
19	12	2	1	56
1	1	1	2	42
2	1	1	2	42
3	1	1	2	42
4	1	1	2	42
5	1	1	2	42
6	1	1	2	42
7	1	1	2	42
8	1	1	2	42
9	1	1	2	42
10	1	1	2	42
11	1	1	2	42
12	1	1	2	42
13	1	1	2	42
14	1	1	2	42
15	1	1	2	42
16	1	1	2	42
17	1	1	2	42
18	1	1	2	42
19	1	1	2	42
1	2	1	2	41
2	2	1	2	41
3	2	1	2	41
4	2	1	2	41
5	2	1	2	41
6	2	1	2	41
7	2	1	2	41
8	2	1	2	41
9	2	1	2	41
10	2	1	2	41
11	2	1	2	41
12	2	1	2	41
13	2	1	2	41
