site	year	rep	specie	Hour
1	1	1	1	0.292361111
2	1	1	1	0.3
3	1	1	1	0.309722222
4	1	1	1	0.316666667
5	1	1	1	0.323611111
6	1	1	1	0.331944444
7	1	1	1	0.340972222
8	1	1	1	0.349305556
9	1	1	1	0.357638889
10	1	1	1	0.365277778
11	1	1	1	0.381944444
12	1	1	1	0.388194444
13	1	1	1	0.39375
14	1	1	1	0.397916667
15	1	1	1	0.402777778
16	1	1	1	0.408333333
17	1	1	1	0.4125
18	1	1	1	0.420138889
19	1	1	1	0.427083333
1	2	1	1	0.292361111
2	2	1	1	0.3
3	2	1	1	0.309722222
4	2	1	1	0.316666667
5	2	1	1	0.323611111
6	2	1	1	0.331944444
7	2	1	1	0.340972222
8	2	1	1	0.349305556
9	2	1	1	0.357638889
10	2	1	1	0.365277778
11	2	1	1	0.381944444
12	2	1	1	0.388194444
13	2	1	1	0.39375
14	2	1	1	0.397916667
15	2	1	1	0.402777778
16	2	1	1	0.408333333
17	2	1	1	0.4125
18	2	1	1	0.420138889
19	2	1	1	0.427083333
1	3	1	1	0.291666667
2	3	1	1	0.300694444
3	3	1	1	0.307638889
4	3	1	1	0.315972222
5	3	1	1	0.321527778
6	3	1	1	0.327083333
7	3	1	1	0.334027778
8	3	1	1	0.339583333
9	3	1	1	0.347222222
10	3	1	1	0.354166667
11	3	1	1	0.372916667
12	3	1	1	0.381944444
13	3	1	1	0.392361111
14	3	1	1	0.397222222
15	3	1	1	0.405555556
16	3	1	1	0.413194444
17	3	1	1	0.423611111
18	3	1	1	0.43125
19	3	1	1	0.438194444
1	4	1	1	0.291666667
2	4	1	1	0.302083333
3	4	1	1	0.311805556
4	4	1	1	0.318055556
5	4	1	1	0.325694444
6	4	1	1	0.338194444
7	4	1	1	0.343055556
8	4	1	1	0.351388889
9	4	1	1	0.359722222
10	4	1	1	0.367361111
11	4	1	1	0.384027778
12	4	1	1	0.390277778
13	4	1	1	0.395833333
14	4	1	1	0.400694444
15	4	1	1	0.406944444
16	4	1	1	0.4125
17	4	1	1	0.421527778
18	4	1	1	0.425
19	4	1	1	0.43125
1	5	1	1	0.295138889
2	5	1	1	0.302083333
3	5	1	1	0.309027778
4	5	1	1	0.317361111
5	5	1	1	0.323611111
6	5	1	1	0.329861111
7	5	1	1	0.336805556
8	5	1	1	0.345138889
9	5	1	1	0.350694444
10	5	1	1	0.361111111
11	5	1	1	0.378472222
12	5	1	1	0.385416667
13	5	1	1	0.392361111
14	5	1	1	0.397222222
15	5	1	1	0.402777778
16	5	1	1	0.407638889
17	5	1	1	0.413194444
18	5	1	1	0.420138889
19	5	1	1	0.427083333
1	6	1	1	0.291666667
2	6	1	1	0.300694444
3	6	1	1	0.30625
4	6	1	1	0.311805556
5	6	1	1	0.317361111
6	6	1	1	0.323611111
7	6	1	1	0.330555556
8	6	1	1	0.340277778
9	6	1	1	0.346527778
10	6	1	1	0.355555556
11	6	1	1	0.381944444
12	6	1	1	0.386805556
13	6	1	1	0.392361111
14	6	1	1	0.395138889
